scenario,target,profile,method,confidence_level,center_empirical_coverage,q25_empirical_coverage,q75_empirical_coverage,center_relative_ci_width,q25_relative_ci_width,q75_relative_ci_width,center_coverage_error,q25_coverage_error,q75_coverage_error,n_seeds,n_replicates
logistic_glm,beta_0,P3,ppi_plus_plus,0.95,0.95825,0.953625,0.9608749999999999,0.9695338956396093,0.968106372084155,0.9708435047257127,0.008250000000000035,0.003625000000000045,0.010875000000000024,30,2000
logistic_glm,beta_0,P3,ppi_plus_plus,0.975,0.98125,0.97925,0.9825,0.9695338956396079,0.9681063720841547,0.9708435047257122,0.006250000000000033,0.004250000000000004,0.007500000000000062,30,2000
logistic_glm,beta_0,P4,naive_ml,0.9,0.8995,0.891125,0.9015,0.07191427593152248,0.0717503663389209,0.07199940260734071,-0.000500000000000056,-0.008875000000000022,0.0014999999999999458,30,2000
logistic_glm,beta_0,P4,naive_ml,0.95,0.9485,0.943125,0.9515,0.07191427593152237,0.07175036633892083,0.0719994026073408,-0.0014999999999999458,-0.006874999999999992,0.0015000000000000568,30,2000
logistic_glm,beta_0,P4,naive_ml,0.975,0.974,0.97075,0.97575,0.07191427593152261,0.07175036633892096,0.07199940260734075,-0.0010000000000000009,-0.004249999999999948,0.0007500000000000007,30,2000
logistic_glm,beta_0,P4,ppi,0.9,0.9265000000000001,0.9221250000000001,0.93025,1.0505001713837174,1.0467486116912308,1.0528659217583125,0.026500000000000024,0.022125000000000006,0.03024999999999997,30,2000
logistic_glm,beta_0,P4,ppi,0.95,0.97375,0.9715,0.976,1.050500171383716,1.0467486116912277,1.0528659217583083,0.02375000000000005,0.021500000000000075,0.026000000000000023,30,2000
logistic_glm,beta_0,P4,ppi,0.975,0.9925,0.991125,0.9935,1.0505001713837159,1.0467486116912297,1.052865921758312,0.01750000000000007,0.016125000000000028,0.018500000000000072,30,2000
logistic_glm,beta_0,P4,ppi_plus_plus,0.9,0.9085000000000001,0.904875,0.913875,0.9731367058868136,0.972305906798407,0.975092398819583,0.008500000000000008,0.004874999999999963,0.013874999999999998,30,2000
logistic_glm,beta_0,P4,ppi_plus_plus,0.95,0.958,0.9544999999999999,0.961375,0.9731367058868121,0.9723059067984091,0.9750923988195852,0.008000000000000063,0.004500000000000004,0.011375000000000052,30,2000
logistic_glm,beta_0,P4,ppi_plus_plus,0.975,0.981,0.980125,0.9828749999999999,0.9731367058868116,0.9723059067984045,0.975092398819582,0.006000000000000005,0.005125000000000018,0.007875000000000021,30,2000
logistic_glm,beta_0,baseline,classic,0.9,0.905,0.899125,0.9083749999999999,1.0,1.0,1.0,0.004999999999999949,-0.0008750000000000147,0.008374999999999966,30,2000
